record_type,part_name,time,time_unit,node_id,element_id,n1,n2,n3,n4,x,y,z,dx,dy,dz,stress_max_principal,stress_von_mises,length_unit,stress_unit
NODE,OPEN_CELL,0.0,ms,1001,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,0.0,ms,1002,,,,,,400.0,0.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,0.0,ms,1003,,,,,,800.0,0.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,0.0,ms,1004,,,,,,1200.0,0.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,0.0,ms,1005,,,,,,1600.0,0.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,0.0,ms,1006,,,,,,0.0,225.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,0.0,ms,1007,,,,,,400.0,225.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,0.0,ms,1008,,,,,,800.0,225.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,0.0,ms,1009,,,,,,1200.0,225.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,0.0,ms,1010,,,,,,1600.0,225.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,0.0,ms,1011,,,,,,0.0,450.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,0.0,ms,1012,,,,,,400.0,450.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,0.0,ms,1013,,,,,,800.0,450.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,0.0,ms,1014,,,,,,1200.0,450.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,0.0,ms,1015,,,,,,1600.0,450.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,0.0,ms,1016,,,,,,0.0,675.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,0.0,ms,1017,,,,,,400.0,675.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,0.0,ms,1018,,,,,,800.0,675.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,0.0,ms,1019,,,,,,1200.0,675.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,0.0,ms,1020,,,,,,1600.0,675.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,0.0,ms,1021,,,,,,0.0,900.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,0.0,ms,1022,,,,,,400.0,900.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,0.0,ms,1023,,,,,,800.0,900.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,0.0,ms,1024,,,,,,1200.0,900.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,0.0,ms,1025,,,,,,1600.0,900.0,0.0,0.0,0.0,0.0,,,mm,
ELEMENT,OPEN_CELL,0.0,ms,,5001,1001,1002,1007,1006,,,,,,,6.72,5.51,,MPa
ELEMENT,OPEN_CELL,0.0,ms,,5002,1002,1003,1008,1007,,,,,,,6.692,5.487,,MPa
ELEMENT,OPEN_CELL,0.0,ms,,5003,1003,1004,1009,1008,,,,,,,6.664,5.464,,MPa
ELEMENT,OPEN_CELL,0.0,ms,,5004,1004,1005,1010,1009,,,,,,,6.636,5.442,,MPa
ELEMENT,OPEN_CELL,0.0,ms,,5005,1006,1007,1012,1011,,,,,,,5.652,4.635,,MPa
ELEMENT,OPEN_CELL,0.0,ms,,5006,1007,1008,1013,1012,,,,,,,2.984,2.447,,MPa
ELEMENT,OPEN_CELL,0.0,ms,,5007,1008,1009,1014,1013,,,,,,,2.956,2.424,,MPa
ELEMENT,OPEN_CELL,0.0,ms,,5008,1009,1010,1015,1014,,,,,,,6.008,4.927,,MPa
ELEMENT,OPEN_CELL,0.0,ms,,5009,1011,1012,1017,1016,,,,,,,5.624,4.612,,MPa
ELEMENT,OPEN_CELL,0.0,ms,,5010,1012,1013,1018,1017,,,,,,,2.956,2.424,,MPa
ELEMENT,OPEN_CELL,0.0,ms,,5011,1013,1014,1019,1018,,,,,,,2.928,2.401,,MPa
ELEMENT,OPEN_CELL,0.0,ms,,5012,1014,1015,1020,1019,,,,,,,5.98,4.904,,MPa
ELEMENT,OPEN_CELL,0.0,ms,,5013,1016,1017,1022,1021,,,,,,,5.596,4.589,,MPa
ELEMENT,OPEN_CELL,0.0,ms,,5014,1017,1018,1023,1022,,,,,,,4.928,4.041,,MPa
ELEMENT,OPEN_CELL,0.0,ms,,5015,1018,1019,1024,1023,,,,,,,4.9,4.018,,MPa
ELEMENT,OPEN_CELL,0.0,ms,,5016,1019,1020,1025,1024,,,,,,,5.952,4.881,,MPa
NODE,OPEN_CELL,10.0,ms,1001,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,10.0,ms,1002,,,,,,400.0,0.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,10.0,ms,1003,,,,,,800.0,0.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,10.0,ms,1004,,,,,,1200.0,0.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,10.0,ms,1005,,,,,,1600.0,0.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,10.0,ms,1006,,,,,,0.0,225.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,10.0,ms,1007,,,,,,400.0,225.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,10.0,ms,1008,,,,,,800.0,225.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,10.0,ms,1009,,,,,,1200.0,225.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,10.0,ms,1010,,,,,,1600.0,225.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,10.0,ms,1011,,,,,,0.0,450.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,10.0,ms,1012,,,,,,400.0,450.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,10.0,ms,1013,,,,,,800.0,450.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,10.0,ms,1014,,,,,,1200.0,450.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,10.0,ms,1015,,,,,,1600.0,450.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,10.0,ms,1016,,,,,,0.0,675.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,10.0,ms,1017,,,,,,400.0,675.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,10.0,ms,1018,,,,,,800.0,675.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,10.0,ms,1019,,,,,,1200.0,675.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,10.0,ms,1020,,,,,,1600.0,675.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,10.0,ms,1021,,,,,,0.0,900.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,10.0,ms,1022,,,,,,400.0,900.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,10.0,ms,1023,,,,,,800.0,900.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,10.0,ms,1024,,,,,,1200.0,900.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,10.0,ms,1025,,,,,,1600.0,900.0,0.0,0.0,0.0,0.0,,,mm,
ELEMENT,OPEN_CELL,10.0,ms,,5001,1001,1002,1007,1006,,,,,,,84.0,68.88,,MPa
ELEMENT,OPEN_CELL,10.0,ms,,5002,1002,1003,1008,1007,,,,,,,83.65,68.593,,MPa
ELEMENT,OPEN_CELL,10.0,ms,,5003,1003,1004,1009,1008,,,,,,,83.3,68.306,,MPa
ELEMENT,OPEN_CELL,10.0,ms,,5004,1004,1005,1010,1009,,,,,,,82.95,68.019,,MPa
ELEMENT,OPEN_CELL,10.0,ms,,5005,1006,1007,1012,1011,,,,,,,70.65,57.933,,MPa
ELEMENT,OPEN_CELL,10.0,ms,,5006,1007,1008,1013,1012,,,,,,,37.3,30.586,,MPa
ELEMENT,OPEN_CELL,10.0,ms,,5007,1008,1009,1014,1013,,,,,,,36.95,30.299,,MPa
ELEMENT,OPEN_CELL,10.0,ms,,5008,1009,1010,1015,1014,,,,,,,75.1,61.582,,MPa
ELEMENT,OPEN_CELL,10.0,ms,,5009,1011,1012,1017,1016,,,,,,,70.3,57.646,,MPa
ELEMENT,OPEN_CELL,10.0,ms,,5010,1012,1013,1018,1017,,,,,,,36.95,30.299,,MPa
ELEMENT,OPEN_CELL,10.0,ms,,5011,1013,1014,1019,1018,,,,,,,36.6,30.012,,MPa
ELEMENT,OPEN_CELL,10.0,ms,,5012,1014,1015,1020,1019,,,,,,,74.75,61.295,,MPa
ELEMENT,OPEN_CELL,10.0,ms,,5013,1016,1017,1022,1021,,,,,,,69.95,57.359,,MPa
ELEMENT,OPEN_CELL,10.0,ms,,5014,1017,1018,1023,1022,,,,,,,61.6,50.512,,MPa
ELEMENT,OPEN_CELL,10.0,ms,,5015,1018,1019,1024,1023,,,,,,,61.25,50.225,,MPa
ELEMENT,OPEN_CELL,10.0,ms,,5016,1019,1020,1025,1024,,,,,,,74.4,61.008,,MPa
NODE,OPEN_CELL,30.0,ms,1001,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,30.0,ms,1002,,,,,,400.0,0.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,30.0,ms,1003,,,,,,800.0,0.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,30.0,ms,1004,,,,,,1200.0,0.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,30.0,ms,1005,,,,,,1600.0,0.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,30.0,ms,1006,,,,,,0.0,225.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,30.0,ms,1007,,,,,,400.0,225.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,30.0,ms,1008,,,,,,800.0,225.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,30.0,ms,1009,,,,,,1200.0,225.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,30.0,ms,1010,,,,,,1600.0,225.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,30.0,ms,1011,,,,,,0.0,450.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,30.0,ms,1012,,,,,,400.0,450.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,30.0,ms,1013,,,,,,800.0,450.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,30.0,ms,1014,,,,,,1200.0,450.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,30.0,ms,1015,,,,,,1600.0,450.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,30.0,ms,1016,,,,,,0.0,675.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,30.0,ms,1017,,,,,,400.0,675.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,30.0,ms,1018,,,,,,800.0,675.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,30.0,ms,1019,,,,,,1200.0,675.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,30.0,ms,1020,,,,,,1600.0,675.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,30.0,ms,1021,,,,,,0.0,900.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,30.0,ms,1022,,,,,,400.0,900.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,30.0,ms,1023,,,,,,800.0,900.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,30.0,ms,1024,,,,,,1200.0,900.0,0.0,0.0,0.0,0.0,,,mm,
NODE,OPEN_CELL,30.0,ms,1025,,,,,,1600.0,900.0,0.0,0.0,0.0,0.0,,,mm,
ELEMENT,OPEN_CELL,30.0,ms,,5001,1001,1002,1007,1006,,,,,,,10.08,8.266,,MPa
ELEMENT,OPEN_CELL,30.0,ms,,5002,1002,1003,1008,1007,,,,,,,10.038,8.231,,MPa
ELEMENT,OPEN_CELL,30.0,ms,,5003,1003,1004,1009,1008,,,,,,,9.996,8.197,,MPa
ELEMENT,OPEN_CELL,30.0,ms,,5004,1004,1005,1010,1009,,,,,,,9.954,8.162,,MPa
ELEMENT,OPEN_CELL,30.0,ms,,5005,1006,1007,1012,1011,,,,,,,8.478,6.952,,MPa
ELEMENT,OPEN_CELL,30.0,ms,,5006,1007,1008,1013,1012,,,,,,,4.476,3.67,,MPa
ELEMENT,OPEN_CELL,30.0,ms,,5007,1008,1009,1014,1013,,,,,,,4.434,3.636,,MPa
ELEMENT,OPEN_CELL,30.0,ms,,5008,1009,1010,1015,1014,,,,,,,9.012,7.39,,MPa
ELEMENT,OPEN_CELL,30.0,ms,,5009,1011,1012,1017,1016,,,,,,,8.436,6.918,,MPa
ELEMENT,OPEN_CELL,30.0,ms,,5010,1012,1013,1018,1017,,,,,,,4.434,3.636,,MPa
ELEMENT,OPEN_CELL,30.0,ms,,5011,1013,1014,1019,1018,,,,,,,4.392,3.601,,MPa
ELEMENT,OPEN_CELL,30.0,ms,,5012,1014,1015,1020,1019,,,,,,,8.97,7.355,,MPa
ELEMENT,OPEN_CELL,30.0,ms,,5013,1016,1017,1022,1021,,,,,,,8.394,6.883,,MPa
ELEMENT,OPEN_CELL,30.0,ms,,5014,1017,1018,1023,1022,,,,,,,7.392,6.061,,MPa
ELEMENT,OPEN_CELL,30.0,ms,,5015,1018,1019,1024,1023,,,,,,,7.35,6.027,,MPa
ELEMENT,OPEN_CELL,30.0,ms,,5016,1019,1020,1025,1024,,,,,,,8.928,7.321,,MPa
NODE,CHASSIS_REAR,0.0,ms,2001,,,,,,0.0,-60.0,-35.0,0.0,0.0,0.0,,,mm,
NODE,CHASSIS_REAR,0.0,ms,2002,,,,,,200.0,-60.0,-35.0,0.0,0.0,0.0,,,mm,
NODE,CHASSIS_REAR,0.0,ms,2003,,,,,,400.0,-60.0,-35.0,0.0,0.0,0.0,,,mm,
NODE,CHASSIS_REAR,0.0,ms,2004,,,,,,600.0,-60.0,-35.0,0.0,0.0,0.0,,,mm,
NODE,CHASSIS_REAR,0.0,ms,2005,,,,,,800.0,-60.0,-35.0,0.0,0.0,0.0,,,mm,
NODE,CHASSIS_REAR,0.0,ms,2006,,,,,,1000.0,-60.0,-35.0,0.0,0.0,0.0,,,mm,
NODE,CHASSIS_REAR,0.0,ms,2007,,,,,,1200.0,-60.0,-35.0,0.0,0.0,0.0,,,mm,
NODE,CHASSIS_REAR,0.0,ms,2008,,,,,,1400.0,-60.0,-35.0,0.0,0.0,0.0,,,mm,
NODE,CHASSIS_REAR,0.0,ms,2009,,,,,,1600.0,-60.0,-35.0,0.0,0.0,0.0,,,mm,
NODE,CHASSIS_REAR,0.0,ms,2010,,,,,,0.0,960.0,-35.0,0.0,0.0,0.0,,,mm,
NODE,CHASSIS_REAR,0.0,ms,2011,,,,,,200.0,960.0,-35.0,0.0,0.0,0.0,,,mm,
NODE,CHASSIS_REAR,0.0,ms,2012,,,,,,400.0,960.0,-35.0,0.0,0.0,0.0,,,mm,
NODE,CHASSIS_REAR,0.0,ms,2013,,,,,,600.0,960.0,-35.0,0.0,0.0,0.0,,,mm,
NODE,CHASSIS_REAR,0.0,ms,2014,,,,,,800.0,960.0,-35.0,0.0,0.0,0.0,,,mm,
NODE,CHASSIS_REAR,0.0,ms,2015,,,,,,1000.0,960.0,-35.0,0.0,0.0,0.0,,,mm,
NODE,CHASSIS_REAR,0.0,ms,2016,,,,,,1200.0,960.0,-35.0,0.0,0.0,0.0,,,mm,
NODE,CHASSIS_REAR,0.0,ms,2017,,,,,,1400.0,960.0,-35.0,0.0,0.0,0.0,,,mm,
NODE,CHASSIS_REAR,0.0,ms,2018,,,,,,1600.0,960.0,-35.0,0.0,0.0,0.0,,,mm,
ELEMENT,CHASSIS_REAR,0.0,ms,,7001,2001,2002,2011,2010,,,,,,,,12.0,,MPa
ELEMENT,CHASSIS_REAR,0.0,ms,,7002,2002,2003,2012,2011,,,,,,,,12.0,,MPa
ELEMENT,CHASSIS_REAR,0.0,ms,,7003,2003,2004,2013,2012,,,,,,,,12.0,,MPa
ELEMENT,CHASSIS_REAR,0.0,ms,,7004,2004,2005,2014,2013,,,,,,,,12.0,,MPa
ELEMENT,CHASSIS_REAR,0.0,ms,,7005,2005,2006,2015,2014,,,,,,,,12.0,,MPa
ELEMENT,CHASSIS_REAR,0.0,ms,,7006,2006,2007,2016,2015,,,,,,,,12.0,,MPa
ELEMENT,CHASSIS_REAR,0.0,ms,,7007,2007,2008,2017,2016,,,,,,,,12.0,,MPa
ELEMENT,CHASSIS_REAR,0.0,ms,,7008,2008,2009,2018,2017,,,,,,,,12.0,,MPa
NODE,CHASSIS_REAR,30.0,ms,2001,,,,,,0.0,-60.0,-35.0,-2.4,0.0,0.0,,,mm,
NODE,CHASSIS_REAR,30.0,ms,2002,,,,,,200.0,-60.0,-35.0,0.0,0.0574,1.6455,,,mm,
NODE,CHASSIS_REAR,30.0,ms,2003,,,,,,400.0,-60.0,-35.0,0.0,0.1061,3.0406,,,mm,
NODE,CHASSIS_REAR,30.0,ms,2004,,,,,,600.0,-60.0,-35.0,0.0,0.1386,3.9727,,,mm,
NODE,CHASSIS_REAR,30.0,ms,2005,,,,,,800.0,-60.0,-35.0,0.0,0.15,4.3,,,mm,
NODE,CHASSIS_REAR,30.0,ms,2006,,,,,,1000.0,-60.0,-35.0,0.0,0.1386,3.9727,,,mm,
NODE,CHASSIS_REAR,30.0,ms,2007,,,,,,1200.0,-60.0,-35.0,0.0,0.1061,3.0406,,,mm,
NODE,CHASSIS_REAR,30.0,ms,2008,,,,,,1400.0,-60.0,-35.0,0.0,0.0574,1.6455,,,mm,
NODE,CHASSIS_REAR,30.0,ms,2009,,,,,,1600.0,-60.0,-35.0,5.4,0.0,0.0,,,mm,
